height(cm),weight(kg),shoe_size,sex,foot_length(mm)
160.0,52.0,37.0,0,
170.0,75.0,42.0,1,
172.0,56.0,42.0,1,
172.0,56.0,39.0,0,
175.0,70.0,43.0,1,
156.0,48.0,36.5,0,
175.0,64.0,42.0,1,
178.0,62.0,42.5,1,
160.0,56.0,38.0,0,
158.0,52.0,37.0,0,
178.0,65.0,43.0,1,
169.0,60.0,39.0,0,
175.0,57.0,41.0,1,
179.0,73.0,44.0,1,
170.0,50.0,40.0,1,
178.0,74.0,42.0,1,
164.0,57.0,37.0,0,
161.0,68.0,38.0,0,
173.0,68.0,38.0,0,
180.0,65.0,43.0,1,
171.0,58.0,39.0,1,245.0
175.0,72.0,42.0,1,260.0
183.0,65.0,43.0,1,265.0
180.0,90.0,43.0,1,265.0
160.0,53.0,36.0,0,230.0
180.0,79.0,43.0,1,265.0
175.0,65.0,41.0,1,255.0
171.0,62.0,41.0,1,255.0
172.0,80.0,43.0,1,265.0
172.0,80.0,43.0,1,265.0
175.0,60.0,43.0,1,265.0
163.0,62.0,38.0,0,240.0
170.0,68.0,40.0,1,250.0
177.0,54.0,43.0,1,265.0
173.0,53.0,41.0,1,255.0
168.0,55.0,41.0,1,255.0
165.0,52.0,37.0,0,235.0
170.0,52.0,41.0,1,255.0
188.0,80.0,43.0,1,265.0
172.0,56.0,42.0,1,260.0
163.0,48.0,37.0,0,235.0
162.0,50.0,37.0,0,235.0
183.0,65.0,43.0,1,265.0
165.0,64.0,37.0,0,235.0
167.0,65.0,39.0,0,245.0
183.0,65.0,42.0,1,260.0
166.0,51.0,37.0,0,235.0
172.0,60.0,38.0,0,240.0
178.0,72.0,43.0,1,265.0
185.0,79.0,42.0,1,260.0
183.0,65.0,43.0,1,265.0
185.0,70.0,45.0,1,275.0
158.0,51.0,36.0,0,230.0
177.0,63.0,43.0,1,265.0
178.0,66.0,42.0,1,260.0
169.0,70.0,39.0,0,245.0
190.0,80.0,45.0,1,275.0
175.0,72.0,42.0,1,260.0
170.0,58.0,39.0,1,245.0
177.0,68.0,40.0,1,250.0
185.0,63.0,43.0,1,265.0
170.0,64.0,42.0,1,260.0
174.0,71.0,42.0,1,260.0
178.0,69.0,40.0,1,250.0
160.0,52.0,37.0,0,235.0
188.0,88.0,44.0,1,270.0
170.0,65.0,41.0,1,255.0
172.0,78.0,41.0,1,255.0
182.0,70.0,42.0,1,260.0
173.0,57.0,43.0,1,265.0
183.0,76.0,43.0,1,265.0
183.0,70.0,40.0,1,250.0
186.0,73.0,44.0,1,270.0
176.0,66.0,42.0,1,260.0
170.0,70.0,41.0,1,255.0
160.0,60.0,38.0,0,240.0
165.0,63.0,39.0,0,245.0
158.0,48.0,35.0,0,225.0
168.0,52.0,38.0,0,240.0
165.0,48.0,37.0,0,235.0
158.0,88.0,36.0,0,230.0
164.0,58.0,37.0,0,235.0
165.0,60.0,37.0,0,235.0
165.0,73.0,39.0,1,245.0
182.0,75.0,41.5,1,265.0
185.0,63.0,42.0,1,260.0
162.0,51.0,38.0,0,240.0
158.0,93.0,36.0,0,230.0
181.0,62.0,42.0,1,255.0
177.0,65.0,42.0,1,260.0
169.0,58.0,42.0,1,260.0
190.0,85.0,50.0,0,100.0
164.0,51.0,39.0,0,245.0
178.0,97.0,44.0,1,270.0
166.0,49.0,40.0,1,250.0
162.0,45.0,38.0,0,240.0
160.0,46.0,37.0,0,235.0
180.0,88.0,45.0,1,275.0
186.0,65.0,43.0,1,265.0
161.0,48.0,37.0,0,235.0
179.0,74.0,41.5,1,258.0
175.0,55.0,42.0,1,260.0
178.5,77.0,42.0,1,260.0
178.0,78.0,44.0,1,270.0
176.0,108.0,40.0,0,250.0
160.0,56.0,37.0,0,235.0
175.0,55.0,40.0,1,248.0
163.0,63.0,39.0,0,245.0
188.0,75.0,44.0,1,270.0
157.0,52.0,37.0,0,235.0
182.0,99.0,44.0,1,271.0
157.0,56.0,38.0,0,240.0
173.0,76.0,41.0,1,255.0
